1	1	1	3
1	1	1	3
3	2	1	24
3	2	1	7
3	2	1	8
1	1	2	7
1	1	2	7
3	2	1	1
1	1	1	8
1	1	1	8
1	1	2	44
1	1	2	44
1	1	1	8
1	1	2	7
1	1	1	3
2	1	1	3
1	1	2	44
1	1	2	44
2	1	1	2
3	1	2	44
3	1	2	44
3	1	2	44
3	1	2	44
2	1	1	3
2	1	1	8
2	1	1	3
2	1	1	8
3	1	1	3
3	1	1	8
3	1	1	2
3	1	1	2
3	2	1	1
3	2	1	1
3	2	1	1
3	2	1	1
3	1	1	7
3	1	1	2
3	1	1	7
3	1	1	3
3	1	1	2
3	2	1	1
3	2	1	1
3	1	2	7
3	1	2	7
3	2	1	38
3	2	1	38
3	2	1	38
3	2	1	38
3	2	1	38
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	38
1	2	1	38
1	2	1	38
3	1	2	7
1	1	1	2
3	1	2	4
3	1	2	44
1	1	1	5
1	1	1	1
1	1	1	1
1	2	1	1
1	2	1	1
1	2	1	1
3	1	2	7
1	2	1	1
1	2	1	1
1	2	1	1
3	1	2	4
3	1	2	4
3	1	2	4
1	1	1	6
1	1	1	7
3	1	2	7
1	2	1	1
1	2	1	1
1	1	1	1
1	1	1	1
3	1	2	4
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	8
1	1	1	8
1	1	1	8
1	1	1	8
1	1	1	2
1	1	1	2
1	1	1	2
1	1	1	8
1	1	1	8
1	1	1	8
1	1	2	4
0	1	2	4
0	1	2	4
