4	1	1	6
4	3	3	17
1	3	2	12
2	0	1	5
2	3	2	9
2	0	1	4
2	4	1	5
3	2	1	5
3	0	1	6
3	1	1	7
3	4	1	4
3	4	1	4
3	1	2	9
3	3	2	10
0	4	3	15
0	4	3	17
0	3	1	4
0	0	2	7
0	2	1	4
0	0	2	8
0	0	2	9
0	1	1	5
0	0	1	2
0	2	1	5
0	2	2	12
0	1	1	5
0	2	1	6
1	3	3	16
1	2	2	9
1	0	1	3
1	3	1	6
1	3	1	1
1	4	4	20
1	1	2	12
1	2	1	4
1	3	2	7
1	4	2	7
1	4	1	5
1	2	3	14
2	1	1	4
2	3	2	11
3	3	1	2
3	2	1	2
0	1	2	10
0	4	2	10
0	1	1	3
0	3	1	6
0	1	1	6
0	1	1	4
0	1	3	14
0	3	2	11
0	3	1	5
0	4	1	2
1	1	2	12
1	2	2	11
3	3	2	13
3	0	2	12
3	4	2	8
3	0	1	4
3	1	1	4
3	2	1	3
3	4	1	6
3	0	1	5
3	3	2	9
3	2	2	8
3	2	2	8
3	0	1	4
1	2	1	5
3	3	1	7
1	1	1	6
1	1	1	2
1	2	1	3
1	2	1	5
1	3	1	7
1	3	1	4
1	4	3	19
1	4	1	6
1	4	1	4
1	1	4	23
1	1	2	12
2	1	2	11
2	3	1	6
2	4	2	12
3	2	1	4
3	3	1	4
3	0	2	13
3	2	2	6
3	2	1	6
3	1	2	10
4	3	4	18
4	2	1	3
1	3	2	8
1	4	2	8
1	1	1	3
1	0	1	4
2	4	3	14
3	1	1	8
3	4	1	6
3	4	1	6
3	2	2	10
